# A list of pairs, left: old-name-of-module, right: new-name-of-module.
acl ansible.posix.acl
bigip_iapp_service f5networks.f5_modules.bigip_iapp_service
bigip_iapp_template f5networks.f5_modules.bigip_iapp_template
bigip_ike_peer f5networks.f5_modules.bigip_ike_peer
bigip_imish_config f5networks.f5_modules.bigip_imish_config
bigip_interface f5networks.f5_modules.bigip_interface
bigip_ipsec_policy f5networks.f5_modules.bigip_ipsec_policy
bigip_irule f5networks.f5_modules.bigip_irule
bigip_log_destination f5networks.f5_modules.bigip_log_destination
bigip_log_publisher f5networks.f5_modules.bigip_log_publisher
bigip_lx_package f5networks.f5_modules.bigip_lx_package
bigip_management_route f5networks.f5_modules.bigip_management_route
bigip_message_routing_peer f5networks.f5_modules.bigip_message_routing_peer
bigip_message_routing_protocol f5networks.f5_modules.bigip_message_routing_protocol
bigip_message_routing_route f5networks.f5_modules.bigip_message_routing_route
bigip_message_routing_router f5networks.f5_modules.bigip_message_routing_router
bigip_message_routing_transport_config f5networks.f5_modules.bigip_message_routing_transport_config
bigip_monitor_dns f5networks.f5_modules.bigip_monitor_dns
bigip_monitor_external f5networks.f5_modules.bigip_monitor_external
bigip_monitor_ftp f5networks.f5_modules.bigip_monitor_ftp
bigip_monitor_gateway_icmp f5networks.f5_modules.bigip_monitor_gateway_icmp
bigip_monitor_http f5networks.f5_modules.bigip_monitor_http
bigip_monitor_https f5networks.f5_modules.bigip_monitor_https
bigip_monitor_icmp f5networks.f5_modules.bigip_monitor_icmp
bigip_monitor_ldap f5networks.f5_modules.bigip_monitor_ldap
bigip_monitor_mysql f5networks.f5_modules.bigip_monitor_mysql
bigip_monitor_oracle f5networks.f5_modules.bigip_monitor_oracle
bigip_monitor_smtp f5networks.f5_modules.bigip_monitor_smtp
bigip_monitor_snmp_dca f5networks.f5_modules.bigip_monitor_snmp_dca
bigip_monitor_tcp f5networks.f5_modules.bigip_monitor_tcp
bigip_monitor_tcp_echo f5networks.f5_modules.bigip_monitor_tcp_echo
bigip_monitor_tcp_half_open f5networks.f5_modules.bigip_monitor_tcp_half_open
bigip_monitor_udp f5networks.f5_modules.bigip_monitor_udp
bigip_network_globals f5networks.f5_modules.bigip_network_globals
bigip_node f5networks.f5_modules.bigip_node
bigip_partition f5networks.f5_modules.bigip_partition
bigip_password_policy f5networks.f5_modules.bigip_password_policy
bigip_policy f5networks.f5_modules.bigip_policy
bigip_policy_rule f5networks.f5_modules.bigip_policy_rule
bigip_pool f5networks.f5_modules.bigip_pool
bigip_pool_member f5networks.f5_modules.bigip_pool_member
bigip_profile_analytics f5networks.f5_modules.bigip_profile_analytics
bigip_profile_client_ssl f5networks.f5_modules.bigip_profile_client_ssl
bigip_profile_dns f5networks.f5_modules.bigip_profile_dns
bigip_profile_fastl4 f5networks.f5_modules.bigip_profile_fastl4
bigip_profile_ftp f5networks.f5_modules.bigip_profile_ftp
bigip_profile_http f5networks.f5_modules.bigip_profile_http
bigip_profile_http2 f5networks.f5_modules.bigip_profile_http2
bigip_profile_http_compression f5networks.f5_modules.bigip_profile_http_compression
bigip_profile_oneconnect f5networks.f5_modules.bigip_profile_oneconnect
bigip_profile_persistence_cookie f5networks.f5_modules.bigip_profile_persistence_cookie
bigip_profile_persistence_src_addr f5networks.f5_modules.bigip_profile_persistence_src_addr
bigip_profile_persistence_universal f5networks.f5_modules.bigip_profile_persistence_universal
bigip_profile_server_ssl f5networks.f5_modules.bigip_profile_server_ssl
bigip_profile_sip f5networks.f5_modules.bigip_profile_sip
bigip_profile_tcp f5networks.f5_modules.bigip_profile_tcp
bigip_profile_udp f5networks.f5_modules.bigip_profile_udp
bigip_provision f5networks.f5_modules.bigip_provision
bigip_qkview f5networks.f5_modules.bigip_qkview
bigip_remote_role f5networks.f5_modules.bigip_remote_role
bigip_remote_syslog f5networks.f5_modules.bigip_remote_syslog
bigip_remote_user f5networks.f5_modules.bigip_remote_user
bigip_routedomain f5networks.f5_modules.bigip_routedomain
bigip_selfip f5networks.f5_modules.bigip_selfip
bigip_service_policy f5networks.f5_modules.bigip_service_policy
bigip_smtp f5networks.f5_modules.bigip_smtp
bigip_snat_pool f5networks.f5_modules.bigip_snat_pool
bigip_snat_translation f5networks.f5_modules.bigip_snat_translation
bigip_snmp f5networks.f5_modules.bigip_snmp
bigip_snmp_community f5networks.f5_modules.bigip_snmp_community
bigip_snmp_trap f5networks.f5_modules.bigip_snmp_trap
bigip_software_image f5networks.f5_modules.bigip_software_image
bigip_software_install f5networks.f5_modules.bigip_software_install
bigip_software_update f5networks.f5_modules.bigip_software_update
bigip_ssl_certificate f5networks.f5_modules.bigip_ssl_certificate
bigip_ssl_csr f5networks.f5_modules.bigip_ssl_csr
bigip_ssl_key f5networks.f5_modules.bigip_ssl_key
bigip_ssl_key_cert f5networks.f5_modules.bigip_ssl_key_cert
bigip_ssl_ocsp f5networks.f5_modules.bigip_ssl_ocsp
bigip_static_route f5networks.f5_modules.bigip_static_route
bigip_sys_daemon_log_tmm f5networks.f5_modules.bigip_sys_daemon_log_tmm
bigip_sys_db f5networks.f5_modules.bigip_sys_db
bigip_sys_global f5networks.f5_modules.bigip_sys_global
bigip_timer_policy f5networks.f5_modules.bigip_timer_policy
bigip_traffic_selector f5networks.f5_modules.bigip_traffic_selector
bigip_trunk f5networks.f5_modules.bigip_trunk
bigip_tunnel f5networks.f5_modules.bigip_tunnel
bigip_ucs f5networks.f5_modules.bigip_ucs
bigip_ucs_fetch f5networks.f5_modules.bigip_ucs_fetch
bigip_user f5networks.f5_modules.bigip_user
bigip_vcmp_guest f5networks.f5_modules.bigip_vcmp_guest
bigip_virtual_address f5networks.f5_modules.bigip_virtual_address
bigip_virtual_server f5networks.f5_modules.virtual_server
bigip_vlan f5networks.f5_modules.bigip_vlan
bigip_wait f5networks.f5_modules.bigip_wait
