# A list of pairs, left: old-name-of-module, right: new-name-of-module.
acl ansible.posix.acl
openssl_privatekey community.crypto.openssl_privatekey
openssl_privatekey_info community.crypto.openssl_privatekey_info
openssl_privatekey_pipe community.crypto.openssl_privatekey_pipe
openssl_publickey community.crypto.openssl_publickey
openssl_publickey_info community.crypto.openssl_publickey_info
openssl_signature community.crypto.openssl_signature
openssl_signature_info community.crypto.openssl_signature_info
openwrt_init community.general.openwrt_init
opkg community.general.opkg
osx_defaults community.general.osx_defaults
ovh_ip_failover community.general.ovh_ip_failover
ovh_ip_loadbalancing_backend community.general.ovh_ip_loadbalancing_backend
ovh_monthly_billing community.general.ovh_monthly_billing
pacemaker_cluster community.general.pacemaker_cluster
package ansible.builtin.package
package_facts ansible.builtin.package_facts
packet_device community.general.packet_device
packet_ip_subnet community.general.packet_ip_subnet
packet_project community.general.packet_project
packet_sshkey community.general.packet_sshkey
packet_volume community.general.packet_volume
packet_volume_attachment community.general.packet_volume_attachment
pacman community.general.pacman
pacman_key community.general.pacman_key
pagerduty community.general.pagerduty
pagerduty_alert community.general.pagerduty_alert
pagerduty_change community.general.pagerduty_change
pagerduty_user community.general.pagerduty_user
pam_limits community.general.pam_limits
pamd community.general.pamd
parted community.general.parted
patch ansible.posix.patch
pause ansible.builtin.pause
pear community.general.pear
pids community.general.pids
ping ansible.builtin.ping
pingdom community.general.pingdom
pip ansible.builtin.pip
pip_package_info community.general.pip_package_info
pipx community.general.pipx
pkg5 community.general.pkg5
pkg5_publisher community.general.pkg5_publisher
pkgin community.general.pkgin
pkgng community.general.pkgng
pkgutil community.general.pkgutil
podman_container containers.podman.podman_container
podman_container_info containers.podman.podman_container_info
podman_containers containers.podman.podman_containers
podman_export containers.podman.podman_export
podman_image containers.podman.podman_image
podman_image_info containers.podman.podman_image_info
podman_import containers.podman.podman_import
podman_load containers.podman.podman_load
podman_login containers.podman.podman_login
podman_login_info containers.podman.podman_login_info
podman_logout containers.podman.podman_logout
podman_network containers.podman.podman_network
podman_network_info containers.podman.podman_network_info
podman_play containers.podman.podman_play
podman_pod containers.podman.podman_pod
podman_pod_info containers.podman.podman_pod_info
podman_save containers.podman.podman_save
podman_secret containers.podman.podman_secret
podman_tag containers.podman.podman_tag
podman_volume containers.podman.podman_volume
podman_volume_info containers.podman.podman_volume_info
portage community.general.portage
portinstall community.general.portinstall
postgresql_copy community.postgresql.postgresql_copy
postgresql_db community.postgresql.postgresql_db
postgresql_ext community.postgresql.postgresql_ext
postgresql_idx community.postgresql.postgresql_idx
postgresql_info community.postgresql.postgresql_info
postgresql_lang community.postgresql.postgresql_lang
postgresql_membership community.postgresql.postgresql_membership
postgresql_owner community.postgresql.postgresql_owner
postgresql_pg_hba community.postgresql.postgresql_pg_hba
postgresql_ping community.postgresql.postgresql_ping
postgresql_privs community.postgresql.postgresql_privs
postgresql_publication community.postgresql.postgresql_publication
postgresql_query community.postgresql.postgresql_query
postgresql_schema community.postgresql.postgresql_schema
postgresql_sequence community.postgresql.postgresql_sequence
postgresql_set community.postgresql.postgresql_set
postgresql_slot community.postgresql.postgresql_slot
postgresql_subscription community.postgresql.postgresql_subscription
postgresql_table community.postgresql.postgresql_table
postgresql_tablespace community.postgresql.postgresql_tablespace
postgresql_user community.postgresql.postgresql_user
postgresql_user_obj_stat_info community.postgresql.postgresql_user_obj_stat_info
pritunl_org community.general.pritunl_org
pritunl_org_info community.general.pritunl_org_info
pritunl_user community.general.pritunl_user
pritunl_user_info community.general.pritunl_user_info
profitbricks community.general.profitbricks
profitbricks_datacenter community.general.profitbricks_datacenter
profitbricks_nic community.general.profitbricks_nic
profitbricks_volume community.general.profitbricks_volume
profitbricks_volume_attachments community.general.profitbricks_volume_attachments
proxmox community.general.proxmox
proxmox_domain_info community.general.proxmox_domain_info
proxmox_group_info community.general.proxmox_group_info
proxmox_kvm community.general.proxmox_kvm
proxmox_nic community.general.proxmox_nic
proxmox_snap community.general.proxmox_snap
proxmox_storage_info community.general.proxmox_storage_info
proxmox_tasks_info community.general.proxmox_tasks_info
proxmox_template community.general.proxmox_template
proxmox_user_info community.general.proxmox_user_info
pubnub_blocks community.general.pubnub_blocks
pulp_repo community.general.pulp_repo
puppet community.general.puppet
pushbullet community.general.pushbullet
pushover community.general.pushover
python_requirements_info community.general.python_requirements_info
raw ansible.builtin.raw
rax community.general.rax
rax_cbs community.general.rax_cbs
rax_cbs_attachments community.general.rax_cbs_attachments
rax_cdb community.general.rax_cdb
rax_cdb_database community.general.rax_cdb_database
rax_cdb_user community.general.rax_cdb_user
rax_clb community.general.rax_clb
rax_clb_nodes community.general.rax_clb_nodes
rax_clb_ssl community.general.rax_clb_ssl
rax_dns community.general.rax_dns
rax_dns_record community.general.rax_dns_record
rax_facts community.general.rax_facts
rax_files community.general.rax_files
rax_files_objects community.general.rax_files_objects
rax_identity community.general.rax_identity
rax_keypair community.general.rax_keypair
rax_meta community.general.rax_meta
rax_mon_alarm community.general.rax_mon_alarm
rax_mon_check community.general.rax_mon_check
rax_mon_entity community.general.rax_mon_entity
rax_mon_notification community.general.rax_mon_notification
rax_mon_notification_plan community.general.rax_mon_notification_plan
rax_network community.general.rax_network
rax_queue community.general.rax_queue
rax_scaling_group community.general.rax_scaling_group
rax_scaling_policy community.general.rax_scaling_policy
read_csv community.general.read_csv
reboot ansible.builtin.reboot
redfish_command community.general.redfish_command
redfish_config community.general.redfish_config
redfish_info community.general.redfish_info
redhat_subscription community.general.redhat_subscription
redis community.general.redis
redis_data community.general.redis_data
redis_data_incr community.general.redis_data_incr
redis_data_info community.general.redis_data_info
redis_info community.general.redis_info
replace ansible.builtin.replace
restconf_config ansible.netcommon.restconf_config
restconf_get ansible.netcommon.restconf_get
rhevm community.general.rhevm
rhn_channel community.general.rhn_channel
rhn_register community.general.rhn_register
rhsm_release community.general.rhsm_release
rhsm_repository community.general.rhsm_repository
riak community.general.riak
rocketchat community.general.rocketchat
rollbar_deployment community.general.rollbar_deployment
rpm_key ansible.builtin.rpm_key
rpm_ostree_pkg community.general.rpm_ostree_pkg
rule ibm.qradar.rule
rule_info ibm.qradar.rule_info
rundeck_acl_policy community.general.rundeck_acl_policy
rundeck_job_executions_info community.general.rundeck_job_executions_info
rundeck_job_run community.general.rundeck_job_run
rundeck_project community.general.rundeck_project
runit community.general.runit
sap_task_list_execute community.general.sap_task_list_execute
sapcar_extract community.general.sapcar_extract
say community.general.say
scaleway_compute community.general.scaleway_compute
scaleway_database_backup community.general.scaleway_database_backup
scaleway_image_info community.general.scaleway_image_info
scaleway_ip community.general.scaleway_ip
scaleway_ip_info community.general.scaleway_ip_info
scaleway_lb community.general.scaleway_lb
scaleway_organization_info community.general.scaleway_organization_info
scaleway_security_group community.general.scaleway_security_group
scaleway_security_group_info community.general.scaleway_security_group_info
scaleway_security_group_rule community.general.scaleway_security_group_rule
scaleway_server_info community.general.scaleway_server_info
scaleway_snapshot_info community.general.scaleway_snapshot_info
scaleway_sshkey community.general.scaleway_sshkey
scaleway_user_data community.general.scaleway_user_data
scaleway_volume community.general.scaleway_volume
scaleway_volume_info community.general.scaleway_volume_info
script ansible.builtin.script
seboolean ansible.posix.seboolean
sefcontext community.general.sefcontext
selinux ansible.posix.selinux
selinux_permissive community.general.selinux_permissive
selogin community.general.selogin
sendgrid community.general.sendgrid
sensu_check community.general.sensu_check
sensu_client community.general.sensu_client
sensu_handler community.general.sensu_handler
sensu_silence community.general.sensu_silence
sensu_subscription community.general.sensu_subscription
seport community.general.seport
serverless community.general.serverless
service ansible.builtin.service
service_facts ansible.builtin.service_facts
set_fact ansible.builtin.set_fact
set_stats ansible.builtin.set_stats
setup ansible.builtin.setup
shell ansible.builtin.shell
shutdown community.general.shutdown
sl_vm community.general.sl_vm
slack community.general.slack
slackpkg community.general.slackpkg
slurp ansible.builtin.slurp
smartos_image_info community.general.smartos_image_info
snap community.general.snap
snap_alias community.general.snap_alias
snmp_facts community.general.snmp_facts
solaris_zone community.general.solaris_zone
sorcery community.general.sorcery
spectrum_device community.general.spectrum_device
spectrum_model_attrs community.general.spectrum_model_attrs
spotinst_aws_elastigroup community.general.spotinst_aws_elastigroup
ss_3par_cpg community.general.ss_3par_cpg
ssh_config community.general.ssh_config
stackdriver community.general.stackdriver
stacki_host community.general.stacki_host
stat ansible.builtin.stat
statsd community.general.statsd
statusio_maintenance community.general.statusio_maintenance
subversion ansible.builtin.subversion
supervisorctl community.general.supervisorctl
svc community.general.svc
svr4pkg community.general.svr4pkg
swdepot community.general.swdepot
swupd community.general.swupd
synchronize ansible.posix.synchronize
sysctl ansible.posix.sysctl
syslogger community.general.syslogger
syspatch community.general.syspatch
sysrc community.general.sysrc
systemd ansible.builtin.systemd
sysupgrade community.general.sysupgrade
sysvinit ansible.builtin.sysvinit
taiga_issue community.general.taiga_issue
telegram community.general.telegram
telnet ansible.netcommon.telnet
tempfile ansible.builtin.tempfile
template ansible.builtin.template
terraform community.general.terraform
timezone community.general.timezone
twilio community.general.twilio typetalk community.general.typetalk
udm_dns_record community.general.udm_dns_record
udm_dns_zone community.general.udm_dns_zone
udm_group community.general.udm_group
udm_share community.general.udm_share
udm_user community.general.udm_user
ufw community.general.ufw
unarchive ansible.builtin.unarchive
update_fact ansible.utils.update_fact
uptimerobot community.general.uptimerobot
uri ansible.builtin.uri
urpmi community.general.urpmi
user ansible.builtin.user
utm_aaa_group community.general.utm_aaa_group
utm_aaa_group_info community.general.utm_aaa_group_info
utm_ca_host_key_cert community.general.utm_ca_host_key_cert
utm_ca_host_key_cert_info community.general.utm_ca_host_key_cert_info
utm_dns_host community.general.utm_dns_host
utm_network_interface_address community.general.utm_network_interface_address
utm_network_interface_address_info community.general.utm_network_interface_address_info
utm_proxy_auth_profile community.general.utm_proxy_auth_profile
utm_proxy_exception community.general.utm_proxy_exception
utm_proxy_frontend community.general.utm_proxy_frontend
utm_proxy_frontend_info community.general.utm_proxy_frontend_info
utm_proxy_location community.general.utm_proxy_location
utm_proxy_location_info community.general.utm_proxy_location_info
validate ansible.utils.validate
validate_argument_spec ansible.builtin.validate_argument_spec
vdo community.general.vdo
vertica_configuration community.general.vertica_configuration
vertica_info community.general.vertica_info
vertica_role community.general.vertica_role
vertica_schema community.general.vertica_schema
vertica_user community.general.vertica_user
vexata_eg community.general.vexata_eg
vexata_volume community.general.vexata_volume
vmadm community.general.vmadm
wait_for ansible.builtin.wait_for
wait_for_connection ansible.builtin.wait_for_connection
wakeonlan community.general.wakeonlan
webfaction_app community.general.webfaction_app
webfaction_db community.general.webfaction_db
webfaction_domain community.general.webfaction_domain
webfaction_mailbox community.general.webfaction_mailbox
webfaction_site community.general.webfaction_site
x509_certificate community.crypto.x509_certificate
x509_certificate_info community.crypto.x509_certificate_info
x509_certificate_pipe community.crypto.x509_certificate_pipe
x509_crl community.crypto.x509_crl
x509_crl_info community.crypto.x509_crl_info
xattr community.general.xattr
xbps community.general.xbps
xcc_redfish_command community.general.xcc_redfish_command
xenserver_facts community.general.xenserver_facts
xenserver_guest community.general.xenserver_guest
xenserver_guest_info community.general.xenserver_guest_info
xenserver_guest_powerstate community.general.xenserver_guest_powerstate
xfconf community.general.xfconf
xfconf_info community.general.xfconf_info
xfs_quota community.general.xfs_quota
xml community.general.xml
yarn community.general.yarn
yum ansible.builtin.yum
yum_repository ansible.builtin.yum_repository
yum_versionlock community.general.yum_versionlock
zabbix_group community.zabbix.zabbix_group
zabbix_host community.zabbix.zabbix_host
zfs community.general.zfs
zfs_delegate_admin community.general.zfs_delegate_admin
zfs_facts community.general.zfs_facts
znode community.general.znode
zpool_fact community.general.zpool_fact
zypper community.general.zypper
zypper_repository community.general.zypper_repository
